ContratID,CandidatID,PosteID,ClientID,TypeContratID,StatutContratID,DateDebut,DateFin,TauxJournalier,DureeJours,MontantTotal
61,27,131,82,4,2,2024-06-22,2024-08-03,39548,42,1661016
62,896,198,7,2,2,2024-08-03,2025-08-24,53278,386,20565308
63,221,54,22,3,2,2024-10-29,2025-09-12,71185,318,22636830
64,605,169,95,1,3,2024-12-16,2025-05-19,55920,154,8611680
65,258,20,64,3,3,2024-09-14,2025-10-02,127742,383,48925186
66,891,12,23,3,2,2024-06-07,2024-10-06,45171,121,5465691
67,41,181,100,3,3,2024-05-29,2025-04-09,46702,315,14711130
68,715,23,34,3,2,2024-08-30,2024-12-16,44189,108,4772412
69,935,83,29,4,3,2024-01-28,2024-11-15,108348,292,31637616
70,441,177,85,4,2,2024-06-10,2024-08-04,135483,55,7451565
71,451,70,97,1,3,2024-05-09,2025-02-15,49543,282,13971126
72,150,61,41,3,1,2024-12-06,2025-06-23,96556,199,19214644
73,879,9,65,3,1,2024-11-08,2025-07-11,74679,245,18296355
74,959,140,65,3,1,2024-04-06,2024-05-21,104661,45,4709745
75,497,65,23,3,3,2024-08-27,2025-02-09,107991,166,17926506
76,693,24,56,1,3,2024-06-16,2024-09-13,64538,89,5743882
77,759,95,6,2,2,2024-10-30,2025-07-15,102551,258,26458158
78,355,35,87,4,2,2024-06-29,2024-07-30,36658,31,1136398
79,4,170,83,1,2,2024-08-22,2025-08-21,88333,364,32153212
80,129,150,16,4,1,2024-09-22,2024-12-25,146192,94,13742048
81,897,196,61,1,2,2024-10-27,2025-06-07,137879,223,30747017
82,799,196,10,4,3,2024-09-20,2025-10-23,36483,398,14520234
83,95,168,9,1,3,2024-04-18,2024-10-16,36864,181,6672384
84,803,101,64,1,1,2024-09-26,2025-05-14,128715,230,29604450
85,884,35,80,3,2,2024-04-25,2025-05-15,55121,385,21221585
86,544,9,85,4,2,2024-09-24,2024-11-17,109810,54,5929740
87,452,19,34,1,2,2024-12-12,2025-08-07,95167,238,22649746
88,1000,47,93,2,3,2024-06-20,2025-02-13,78902,238,18778676
89,872,177,54,2,3,2024-11-21,2025-09-14,66991,297,19896327
90,387,43,40,4,1,2024-02-26,2024-11-04,119591,252,30136932
91,477,19,35,2,2,2024-06-04,2024-12-28,60941,207,12614787
92,943,188,74,1,1,2024-11-13,2025-07-03,121767,232,28249944
93,922,88,38,4,3,2024-09-23,2025-02-05,57926,135,7820010
94,631,84,40,1,2,2024-04-28,2024-09-29,135395,154,20850830
95,649,61,39,2,2,2024-07-01,2025-07-17,114111,381,43476291
96,737,190,32,1,3,2024-02-10,2024-11-09,95391,273,26041743
97,289,70,40,2,3,2024-10-24,2025-08-02,41908,282,11818056
98,918,172,3,4,3,2024-02-17,2024-05-09,55644,82,4562808
99,295,199,88,1,1,2024-07-24,2025-01-13,105831,173,18308763
100,832,91,26,3,3,2024-06-29,2024-10-18,98709,111,10956699
101,821,141,45,3,2,2024-08-13,2025-08-28,42333,380,16086540
102,289,5,18,3,1,2024-06-04,2025-07-07,41917,398,16682966
103,808,157,54,1,2,2024-02-01,2024-07-03,102791,153,15727023
104,868,195,27,2,1,2024-08-30,2025-03-01,75147,183,13751901
105,497,40,17,1,1,2024-11-22,2025-09-01,86850,283,24578550
106,540,3,29,4,2,2024-08-11,2024-11-03,103243,84,8672412
107,510,9,91,4,2,2024-01-16,2024-09-09,131932,237,31267884
108,45,172,86,2,3,2024-02-09,2024-05-29,60226,110,6624860
109,541,49,79,3,3,2024-04-10,2024-11-21,113254,225,25482150
110,674,83,21,1,1,2024-04-18,2025-02-09,133809,297,39741273
111,562,68,65,4,3,2024-02-14,2024-12-13,139659,303,42316677
112,500,61,82,4,1,2024-11-23,2025-02-04,147126,73,10740198
113,502,34,65,1,1,2024-09-26,2025-02-10,30548,137,4185076
114,537,82,86,3,1,2024-10-06,2025-03-15,39109,160,6257440
115,930,185,21,1,1,2024-12-17,2025-10-11,134243,298,40004414
116,412,72,47,3,2,2024-11-13,2025-04-13,54707,151,8260757
117,225,161,34,3,3,2024-03-03,2024-09-20,64801,201,13025001
118,65,138,73,2,3,2024-01-09,2024-05-02,86761,114,9890754
119,871,160,13,2,2,2024-09-23,2025-02-27,108688,157,17064016
120,181,115,32,3,3,2024-11-28,2025-06-22,34552,206,7117712
121,418,75,71,1,2,2024-09-12,2024-12-28,107856,107,11540592
122,757,52,2,1,1,2024-11-10,2025-01-19,41151,70,2880570
123,179,57,26,2,1,2024-08-10,2024-10-31,74404,82,6101128
124,235,106,71,2,2,2024-06-14,2024-12-29,138076,198,27339048
125,636,81,24,2,1,2024-02-17,2024-05-17,45077,90,4056930
126,628,81,61,2,2,2024-09-02,2024-10-14,35463,42,1489446
127,244,74,41,1,1,2024-04-16,2025-03-20,87057,338,29425266
128,542,185,47,3,2,2024-04-09,2025-05-03,59698,389,23222522
129,705,129,36,4,3,2024-11-15,2025-06-22,59488,219,13027872
130,222,179,90,2,1,2024-08-28,2025-05-08,80835,253,20451255
131,444,186,73,3,1,2024-06-11,2024-09-10,50459,91,4591769
132,281,124,73,1,1,2024-10-18,2024-12-14,32455,57,1849935
133,941,19,80,2,3,2024-09-24,2024-11-22,141059,59,8322481
134,384,194,43,2,1,2024-06-25,2024-10-03,127271,100,12727100
135,856,96,11,4,1,2024-12-22,2025-03-03,79397,71,5637187
136,881,76,6,2,3,2024-01-11,2024-11-08,129600,302,39139200
137,168,83,49,3,2,2024-06-28,2025-05-09,149509,315,47095335
138,942,18,88,1,2,2024-05-31,2025-03-27,77360,300,23208000
139,50,133,49,4,2,2024-02-14,2024-06-29,48746,136,6629456
140,387,10,99,3,2,2024-09-21,2025-03-05,54214,165,8945310
141,159,145,53,1,2,2024-02-06,2024-07-17,145317,162,23541354
142,47,167,64,2,2,2024-09-13,2024-12-06,137082,84,11514888
143,552,85,8,3,3,2024-10-02,2025-04-24,113999,204,23255796
144,601,77,77,2,2,2024-06-26,2025-02-09,111426,228,25405128
145,582,135,89,4,1,2024-03-30,2024-07-13,66721,105,7005705
146,418,173,51,3,1,2024-12-25,2025-05-06,92863,132,12257916
147,787,20,91,3,3,2024-09-14,2025-04-06,74191,204,15134964
148,493,92,24,2,1,2024-02-12,2024-04-17,77087,65,5010655
149,536,65,49,4,1,2024-09-25,2025-05-30,117242,247,28958774
150,442,3,92,3,1,2024-02-27,2024-08-03,94713,158,14964654
151,208,2,61,3,2,2024-08-15,2025-06-03,81413,292,23772596
152,655,106,69,3,1,2024-04-04,2025-02-05,59941,307,18401887
153,830,153,41,3,2,2024-08-19,2025-02-02,108628,167,18140876
154,305,119,55,4,3,2024-10-20,2025-03-30,83952,161,13516272
155,464,50,38,1,2,2024-10-13,2025-05-26,36008,225,8101800
156,893,91,69,3,3,2024-10-05,2024-11-19,112307,45,5053815
157,207,194,6,1,1,2024-09-15,2024-12-25,70217,101,7091917
158,422,168,52,2,3,2024-10-09,2024-12-22,79363,74,5872862
159,270,24,93,2,1,2024-11-25,2025-04-09,148640,135,20066400
160,342,129,6,1,2,2024-11-17,2025-07-25,112194,250,28048500
161,460,125,46,3,3,2024-10-08,2025-02-05,38058,120,4566960
162,923,73,67,2,3,2024-06-10,2025-01-19,118647,223,26458281
163,13,73,9,2,3,2024-04-17,2025-01-28,65021,286,18596006
164,359,144,1,4,2,2024-04-26,2025-01-30,120445,279,33604155
165,866,187,17,2,2,2024-08-11,2025-03-25,71952,226,16261152
166,84,64,23,1,2,2024-08-07,2025-04-05,98301,241,23690541
167,507,186,88,4,2,2024-06-04,2024-12-14,113342,193,21875006
168,156,168,16,1,1,2024-05-29,2024-12-28,52126,213,11102838
169,560,11,65,4,3,2024-09-21,2025-08-11,46307,324,15003468
170,715,57,35,3,3,2024-07-10,2025-01-31,114067,205,23383735
171,636,89,54,2,3,2024-01-07,2024-06-15,38624,160,6179840
172,563,134,91,3,3,2024-02-21,2025-03-12,128313,385,49400505
173,743,46,86,4,1,2024-04-30,2025-05-04,81991,369,30254679
174,535,84,8,4,1,2024-05-24,2025-05-08,41314,349,14418586
175,613,19,9,2,1,2024-09-24,2025-08-23,121658,333,40512114
176,82,21,36,1,2,2024-06-21,2024-12-09,137515,171,23515065
177,22,87,81,1,1,2024-06-04,2025-06-24,38070,385,14656950
178,165,126,76,4,3,2024-02-01,2024-10-29,142956,271,38741076
179,540,91,62,3,1,2024-01-23,2025-01-16,79719,359,28619121
180,397,77,87,3,3,2024-12-28,2025-02-03,110188,37,4076956
181,367,100,19,3,2,2024-11-10,2025-01-18,61968,69,4275792
182,449,127,74,4,2,2024-01-14,2024-02-20,43327,37,1603099
183,990,143,97,3,2,2024-06-14,2025-07-17,148429,398,59074742
184,377,108,97,2,2,2024-12-01,2025-04-27,108442,147,15940974
185,445,19,72,1,2,2024-09-16,2024-10-30,60600,44,2666400
186,503,9,70,2,1,2024-01-30,2024-12-04,72728,309,22472952
187,775,69,23,4,1,2024-06-05,2025-04-23,120941,322,38943002
188,734,41,75,1,2,2024-11-09,2025-11-16,66437,372,24714564
189,980,108,25,1,1,2024-04-19,2024-12-19,112548,244,27461712
190,636,141,43,4,1,2024-07-19,2025-04-27,34411,282,9703902
191,954,51,12,3,2,2024-04-27,2025-01-10,148456,258,38301648
192,612,94,31,1,1,2024-03-12,2024-12-28,116980,291,34041180
193,539,44,8,1,2,2024-11-09,2025-06-18,70387,221,15555527
194,558,94,47,1,2,2024-03-25,2024-05-05,98001,41,4018041
195,481,76,8,1,1,2024-07-31,2024-10-30,50868,91,4628988
196,201,1,77,2,2,2024-05-08,2025-05-17,84095,374,31451530
197,367,134,66,4,2,2024-08-11,2024-09-27,72405,47,3403035
198,605,61,66,4,3,2024-10-16,2024-12-17,76642,62,4751804
199,607,150,71,2,2,2024-07-20,2025-06-11,127587,326,41593362
200,159,134,78,2,2,2024-02-23,2025-03-09,79422,380,30180360
201,804,40,68,4,1,2024-04-14,2024-10-26,30750,195,5996250
202,713,178,63,2,1,2024-03-29,2024-06-19,84371,82,6918422
203,526,5,19,1,2,2024-09-08,2025-05-13,36237,247,8950539
204,453,115,74,3,2,2024-09-09,2024-10-21,87298,42,3666516
205,558,161,49,2,3,2024-02-22,2024-08-03,111524,163,18178412
206,582,109,16,4,3,2024-08-12,2025-04-07,41721,238,9929598
207,428,112,49,4,3,2024-06-18,2025-06-08,37606,355,13350130
208,863,95,33,4,2,2024-06-02,2024-08-13,75638,72,5445936
209,159,13,20,4,1,2024-11-09,2025-07-21,87897,254,22325838
210,374,136,57,3,2,2024-01-23,2024-03-03,37684,40,1507360
211,398,191,90,3,3,2024-09-22,2025-04-12,69054,202,13948908
212,100,160,2,1,1,2024-07-22,2025-04-25,123111,277,34101747
213,90,12,14,1,3,2024-04-04,2024-05-17,98510,43,4235930
214,892,45,92,1,1,2024-03-24,2025-01-21,92668,303,28078404
215,775,167,70,4,2,2024-02-29,2025-03-29,42557,394,16767458
216,365,143,24,2,3,2024-08-11,2024-12-27,125941,138,17379858
217,267,74,37,3,1,2024-08-27,2025-07-03,101046,310,31324260
218,407,49,9,2,1,2024-04-10,2024-11-23,81518,227,18504586
219,705,93,85,4,3,2024-05-19,2025-05-23,103718,369,38271942
220,297,7,67,2,2,2024-12-23,2025-08-26,48371,246,11899266
221,67,18,24,4,2,2024-09-14,2025-08-07,111299,327,36394773
222,421,15,20,3,1,2024-08-03,2024-10-31,65949,89,5869461
223,599,166,70,1,3,2024-02-13,2024-06-16,34928,124,4331072
224,521,10,57,2,2,2024-07-27,2025-02-04,58063,192,11148096
225,173,111,75,2,2,2024-05-23,2025-05-22,73837,364,26876668
226,844,57,25,3,3,2024-11-01,2025-07-24,82788,265,21938820
227,632,152,100,2,2,2024-03-11,2024-06-27,57461,108,6205788
228,721,26,17,1,3,2024-12-28,2025-12-20,124669,357,44506833
229,958,183,18,4,2,2024-12-09,2025-08-24,61683,258,15914214
230,514,18,74,4,3,2024-10-11,2025-04-13,43995,184,8095080
231,579,170,57,2,2,2024-07-01,2024-12-20,56696,172,9751712
232,764,30,39,4,1,2024-08-04,2025-05-19,78012,288,22467456
233,774,6,74,1,3,2024-11-26,2025-11-17,35374,356,12593144
234,848,8,58,2,1,2024-11-11,2025-06-14,41014,215,8818010
235,705,157,41,1,3,2024-10-22,2025-09-29,48865,342,16711830
236,59,69,22,2,3,2024-03-07,2024-12-23,76974,291,22399434
237,351,84,72,3,2,2024-05-28,2024-07-24,144231,57,8221167
238,593,165,56,4,2,2024-10-05,2025-08-22,99902,321,32068542
239,445,53,90,4,1,2024-02-15,2024-10-09,39820,237,9437340
240,44,111,43,4,3,2024-09-05,2025-04-19,38276,226,8650376
241,268,60,27,3,1,2024-05-10,2025-01-21,42404,256,10855424
242,309,13,6,2,2,2024-07-24,2024-09-14,37997,52,1975844
243,37,199,28,4,3,2024-12-01,2025-12-01,90624,365,33077760
244,763,75,73,1,1,2024-11-12,2025-10-31,117661,353,41534333
245,378,170,29,4,1,2024-05-14,2025-06-17,82137,399,32772663
246,792,86,56,4,3,2024-09-16,2025-05-26,78899,252,19882548
247,871,174,22,1,3,2024-01-04,2024-05-01,101361,118,11960598
248,884,35,93,3,1,2024-09-18,2025-05-28,72165,252,18185580
249,909,109,91,4,1,2024-02-20,2024-07-03,127053,134,17025102
250,499,75,81,3,2,2024-11-28,2025-07-04,112358,218,24494044
251,243,199,74,4,2,2024-04-18,2025-03-10,148004,326,48249304
252,85,68,58,2,1,2024-09-12,2024-12-15,40171,94,3776074
253,624,155,1,3,1,2024-08-31,2025-03-17,82000,198,16236000
254,127,99,5,4,2,2024-04-03,2024-10-29,133165,209,27831485
255,242,81,45,1,1,2024-11-01,2025-11-09,110700,373,41291100
256,245,140,76,3,2,2024-03-08,2024-10-22,123051,228,28055628
257,274,129,14,4,3,2024-11-24,2025-04-29,86197,156,13446732
258,373,96,55,2,1,2024-07-06,2024-12-24,76757,171,13125447
259,332,12,96,4,2,2024-06-19,2024-11-08,120350,142,17089700
260,527,15,84,3,3,2024-03-26,2024-06-19,86244,85,7330740
261,958,120,56,2,2,2024-01-04,2024-10-22,78862,292,23027704
262,646,12,58,2,1,2024-09-12,2025-07-21,77725,312,24250200
263,677,122,7,2,3,2024-09-24,2025-01-05,44824,103,4616872
264,163,178,1,2,2,2024-11-03,2025-05-20,124227,198,24596946
265,115,158,32,3,3,2024-12-17,2025-10-21,132170,308,40708360
266,189,139,82,3,1,2024-04-16,2025-01-30,33479,289,9675431
267,849,55,1,2,3,2024-07-26,2024-09-23,78280,59,4618520
268,173,132,80,3,3,2024-11-29,2025-01-15,110566,47,5196602
269,984,37,26,3,1,2024-07-25,2024-09-19,48008,56,2688448
270,755,183,10,4,2,2024-09-29,2025-05-03,66305,216,14321880
271,830,19,10,4,2,2024-09-17,2025-09-20,145406,368,53509408
272,303,109,69,3,2,2024-12-26,2025-02-21,123545,57,7042065
273,157,98,5,1,2,2024-05-04,2025-02-17,135251,289,39087539
274,167,15,53,2,3,2024-03-13,2025-01-08,148069,301,44568769
275,858,38,94,2,3,2024-11-30,2025-12-21,111768,386,43142448
276,432,143,59,2,3,2024-06-17,2025-02-16,63477,244,15488388
277,410,120,34,4,1,2024-03-11,2025-03-29,144375,383,55295625
278,248,33,89,3,3,2024-08-21,2025-03-06,83502,197,16449894
279,357,29,8,4,2,2024-11-06,2025-03-14,94688,128,12120064
280,370,134,25,1,3,2024-10-05,2025-10-29,95710,389,37231190
281,750,133,18,3,2,2024-05-02,2024-12-10,95827,222,21273594
282,825,81,2,3,1,2024-11-28,2025-04-27,96125,150,14418750
283,468,5,96,4,3,2024-01-15,2024-10-08,123250,267,32907750
284,334,6,21,2,3,2024-11-21,2025-05-26,48788,186,9074568
285,452,31,8,3,1,2024-03-07,2025-01-07,82932,306,25377192
286,175,12,92,2,1,2024-03-27,2025-01-23,99989,302,30196678
287,69,112,97,3,3,2024-04-24,2024-05-30,96864,36,3487104
288,233,79,22,1,1,2024-06-03,2025-01-13,116869,224,26178656
289,25,44,41,3,2,2024-01-18,2024-12-29,70130,346,24264980
290,35,119,68,2,2,2024-09-19,2025-06-19,143283,273,39116259
291,239,141,43,4,2,2024-02-17,2024-12-09,31762,296,9401552
292,902,35,79,1,2,2024-02-18,2025-03-15,117045,391,45764595
293,186,126,25,1,3,2024-01-02,2024-06-07,50345,157,7904165
294,697,22,82,3,2,2024-12-16,2025-09-29,102396,287,29387652
295,148,120,56,2,3,2024-01-18,2024-02-27,32824,40,1312960
296,464,76,2,2,2,2024-09-29,2024-12-23,57990,85,4929150
297,607,22,63,4,2,2024-08-19,2025-06-03,76983,288,22171104
298,561,161,1,4,2,2024-10-29,2025-02-13,41750,107,4467250
299,800,37,85,1,1,2024-06-13,2025-04-30,69374,321,22269054
300,255,157,99,3,3,2024-11-27,2025-11-13,106120,351,37248120
301,743,74,16,3,3,2024-06-21,2025-06-16,49414,360,17789040
302,404,137,53,4,1,2024-03-05,2024-04-21,105021,47,4935987
303,446,142,34,1,1,2024-11-25,2025-04-24,86139,150,12920850
304,320,86,7,4,2,2024-06-03,2025-01-07,130723,218,28497614
305,997,134,68,3,1,2024-01-03,2024-02-07,106532,35,3728620
306,825,89,3,4,1,2024-08-25,2025-08-25,83532,365,30489180
307,463,122,3,3,3,2024-04-27,2025-05-19,129018,387,49929966
308,744,46,82,4,1,2024-10-27,2025-09-09,50645,317,16054465
309,916,86,29,1,2,2024-02-25,2024-07-06,98057,132,12943524
310,284,28,91,1,3,2024-09-26,2024-12-07,56967,72,4101624
311,327,84,60,3,2,2024-10-30,2025-09-30,84074,335,28164790
312,763,4,53,2,1,2024-02-14,2024-12-13,87167,303,26411601
313,284,82,41,1,1,2024-08-01,2025-08-15,101813,379,38587127
314,94,173,38,3,1,2024-08-23,2025-02-10,67446,171,11533266
315,596,73,23,4,2,2024-12-02,2025-03-04,109439,92,10068388
316,203,100,71,3,2,2024-04-17,2025-04-15,51632,363,18742416
317,587,172,61,3,1,2024-06-26,2024-09-03,50055,69,3453795
318,107,1,3,3,1,2024-05-28,2025-01-24,42942,241,10349022
319,479,135,33,2,2,2024-05-16,2024-12-06,87713,204,17893452
320,239,106,90,3,2,2024-12-28,2025-08-18,79482,233,18519306
321,529,69,50,4,2,2024-08-27,2025-02-21,129064,178,22973392
322,227,52,26,1,3,2024-02-27,2024-03-31,70502,33,2326566
323,252,119,23,2,2,2024-11-11,2025-07-29,99710,260,25924600
324,901,86,20,1,3,2024-02-08,2024-06-09,145833,122,17791626
325,982,80,87,4,2,2024-11-16,2025-01-28,103894,73,7584262
326,328,135,32,3,2,2024-05-29,2024-11-27,132769,182,24163958
327,646,80,30,3,1,2024-09-03,2025-01-18,91145,137,12486865
328,356,162,7,3,3,2024-11-11,2025-09-04,52018,297,15449346
329,171,57,89,3,3,2024-11-14,2025-04-26,83933,163,13681079
330,100,141,39,4,3,2024-02-29,2024-10-08,120402,222,26729244
331,891,113,71,1,3,2024-05-27,2024-12-22,43863,209,9167367
332,66,180,72,3,1,2024-01-30,2025-01-09,87623,345,30229935
333,493,81,36,4,2,2024-08-22,2024-10-29,92141,68,6265588
334,220,47,50,1,3,2024-06-01,2024-07-13,141131,42,5927502
335,761,80,11,3,3,2024-12-30,2025-12-15,147267,350,51543450
336,135,133,67,1,2,2024-08-18,2025-01-14,102984,149,15344616
337,577,86,68,1,1,2024-06-09,2025-03-31,55406,295,16344770
338,345,178,22,2,3,2024-02-26,2024-11-03,54479,251,13674229
339,521,32,20,4,2,2024-04-14,2025-02-20,101850,312,31777200
340,187,62,40,2,1,2024-10-20,2025-07-20,53516,273,14609868
341,117,197,70,2,2,2024-02-22,2024-06-21,110825,120,13299000
342,179,160,52,4,3,2024-11-04,2025-06-07,146075,215,31406125
343,577,16,7,4,3,2024-08-07,2024-12-28,52457,143,7501351
344,648,189,58,3,3,2024-07-09,2025-01-02,140193,177,24814161
345,905,86,71,1,1,2024-06-22,2025-02-08,34650,231,8004150
346,943,129,19,4,3,2024-01-12,2024-03-08,87943,56,4924808
347,753,4,45,2,3,2024-03-23,2024-05-03,76293,41,3128013
348,13,33,81,3,1,2024-07-07,2025-04-20,97672,287,28031864
349,704,140,33,3,3,2024-06-26,2024-08-27,88020,62,5457240
350,706,53,10,2,1,2024-03-19,2025-03-18,95651,364,34816964
351,707,24,93,3,3,2024-10-20,2025-07-14,44465,267,11872155
352,660,136,10,3,3,2024-06-11,2025-05-06,121617,329,40011993
353,688,44,7,1,3,2024-05-21,2024-12-11,143277,204,29228508
354,586,174,25,1,2,2024-10-04,2025-07-20,86938,289,25125082
355,620,36,76,4,1,2024-02-24,2024-06-01,132828,98,13017144
356,693,5,66,1,3,2024-01-20,2024-10-10,44715,264,11804760
357,44,79,24,2,2,2024-04-27,2024-09-18,117858,144,16971552
358,509,66,8,2,2,2024-01-01,2024-11-11,68914,315,21707910
359,128,128,96,2,3,2024-05-15,2024-10-27,110355,165,18208575
360,927,47,1,2,1,2024-02-18,2024-12-31,98193,317,31127181
361,990,197,93,4,2,2024-08-28,2025-08-23,35287,360,12703320
362,159,85,48,1,3,2024-01-17,2024-02-18,72128,32,2308096
363,892,142,20,4,2,2024-03-16,2024-05-08,82169,53,4354957
364,474,154,35,3,3,2024-04-05,2024-09-14,127625,162,20675250
365,673,177,32,4,3,2024-08-05,2025-03-25,43189,232,10019848
366,654,101,16,3,2,2024-05-27,2025-05-13,143748,351,50455548
367,118,46,44,4,1,2024-10-07,2025-04-17,35763,192,6866496
368,909,104,66,1,3,2024-10-11,2025-09-20,59039,344,20309416
369,641,86,48,3,3,2024-05-20,2025-03-15,47090,299,14079910
370,488,122,65,3,1,2024-01-12,2024-10-30,136697,292,39915524
371,615,48,98,4,3,2024-12-16,2025-12-17,98098,366,35903868
372,977,104,13,1,1,2024-05-08,2024-09-29,115884,144,16687296
373,648,192,74,3,1,2024-07-15,2025-04-18,112565,277,31180505
374,657,138,23,3,1,2024-12-05,2025-10-26,100434,325,32641050
375,877,192,2,1,2,2024-08-25,2025-09-17,65941,388,25585108
376,700,22,37,3,1,2024-07-29,2024-11-21,45646,115,5249290
377,143,131,40,2,3,2024-05-04,2025-03-21,82310,321,26421510
378,819,5,100,2,2,2024-10-28,2025-02-17,79314,112,8883168
379,900,41,35,3,2,2024-03-12,2025-04-01,82416,385,31730160
380,734,166,77,3,1,2024-06-25,2025-02-08,149442,228,34072776
381,153,21,94,3,3,2024-05-07,2025-04-25,45414,353,16031142
382,523,96,34,2,3,2024-02-05,2024-10-03,107802,241,25980282
383,55,14,18,4,2,2024-04-11,2024-06-07,48741,57,2778237
384,773,60,97,1,1,2024-03-09,2024-08-15,101002,159,16059318
385,958,25,46,2,3,2024-02-03,2024-10-15,111149,255,28342995
386,36,91,46,2,3,2024-10-03,2025-06-13,34274,253,8671322
387,110,129,73,2,2,2024-09-16,2025-05-07,85269,233,19867677
388,933,131,39,2,2,2024-11-11,2025-08-30,68506,292,20003752
389,800,187,55,4,3,2024-01-12,2024-09-11,88515,243,21509145
390,824,25,95,1,1,2024-06-19,2024-09-23,88578,96,8503488
391,209,81,5,3,3,2024-08-29,2024-10-26,86674,58,5027092
392,638,105,74,2,2,2024-06-28,2024-11-11,106999,136,14551864
393,829,18,40,1,1,2024-01-10,2024-03-30,54112,80,4328960
394,69,23,55,1,3,2024-06-13,2025-03-28,132853,288,38261664
395,284,63,92,2,3,2024-02-15,2025-03-12,130955,391,51203405
396,295,172,61,2,3,2024-01-07,2025-01-14,84968,373,31693064
